direction,speed,created_at
337,3,2024-11-15 16:49:40 UTC
157,6,2024-11-15 16:49:46 UTC
157,7,2024-11-15 16:49:53 UTC
202,2,2024-11-15 16:49:59 UTC
22,2,2024-11-15 16:50:05 UTC
270,2,2024-11-15 16:50:11 UTC
157,2,2024-11-15 16:50:18 UTC
67,2,2024-11-15 16:50:24 UTC
202,4,2024-11-15 16:50:30 UTC
202,6,2024-11-15 16:50:36 UTC
202,4,2024-11-15 16:50:44 UTC
202,6,2024-11-15 16:50:49 UTC
202,3,2024-11-15 16:51:00 UTC
180,6,2024-11-15 16:51:02 UTC
157,6,2024-11-15 16:51:08 UTC
157,8,2024-11-15 16:51:14 UTC
337,4,2024-11-15 16:51:21 UTC
